"epoch","complex_kitti - _step","complex_kitti - _step__MIN","complex_kitti - _step__MAX","complex_kitti - train/mIOU_epoch","complex_kitti - train/mIOU_epoch__MIN","complex_kitti - train/mIOU_epoch__MAX","streetview-low_kitti - _step","streetview-low_kitti - _step__MIN","streetview-low_kitti - _step__MAX","streetview-low_kitti - train/mIOU_epoch","streetview-low_kitti - train/mIOU_epoch__MIN","streetview-low_kitti - train/mIOU_epoch__MAX","streetview-high_kitti - _step","streetview-high_kitti - _step__MIN","streetview-high_kitti - _step__MAX","streetview-high_kitti - train/mIOU_epoch","streetview-high_kitti - train/mIOU_epoch__MIN","streetview-high_kitti - train/mIOU_epoch__MAX","KITTI - _step","KITTI - _step__MIN","KITTI - _step__MAX","KITTI - train/mIOU_epoch","KITTI - train/mIOU_epoch__MIN","KITTI - train/mIOU_epoch__MAX","cameraview_low_kitti - _step","cameraview_low_kitti - _step__MIN","cameraview_low_kitti - _step__MAX","cameraview_low_kitti - train/mIOU_epoch","cameraview_low_kitti - train/mIOU_epoch__MIN","cameraview_low_kitti - train/mIOU_epoch__MAX","cameraview_high_kitti - _step","cameraview_high_kitti - _step__MIN","cameraview_high_kitti - _step__MAX","cameraview_high_kitti - train/mIOU_epoch","cameraview_high_kitti - train/mIOU_epoch__MIN","cameraview_high_kitti - train/mIOU_epoch__MAX","citiscape_kitti - _step","citiscape_kitti - _step__MIN","citiscape_kitti - _step__MAX","citiscape_kitti - train/mIOU_epoch","citiscape_kitti - train/mIOU_epoch__MIN","citiscape_kitti - train/mIOU_epoch__MAX"
"22","293","293","293","0.2801811993122101","0.2801811993122101","0.2801811993122101","293","293","293","0.2766004204750061","0.2766004204750061","0.2766004204750061","293","293","293","0.2688305974006653","0.2688305974006653","0.2688305974006653","293","293","293","0.2446053922176361","0.2446053922176361","0.2446053922176361","293","293","293","0.2700742781162262","0.2700742781162262","0.2700742781162262","293","293","293","0.2702764868736267","0.2702764868736267","0.2702764868736267","293","293","293","0.33279499411582947","0.33279499411582947","0.33279499411582947"
"23","306","306","306","0.2836454212665558","0.2836454212665558","0.2836454212665558","306","306","306","0.2749887704849243","0.2749887704849243","0.2749887704849243","306","306","306","0.2745194435119629","0.2745194435119629","0.2745194435119629","306","306","306","0.2482881247997284","0.2482881247997284","0.2482881247997284","306","306","306","0.28146615624427795","0.28146615624427795","0.28146615624427795","306","306","306","0.27601298689842224","0.27601298689842224","0.27601298689842224","306","306","306","0.33995485305786133","0.33995485305786133","0.33995485305786133"
"24","319","319","319","0.2864391505718231","0.2864391505718231","0.2864391505718231","319","319","319","0.2824052572250366","0.2824052572250366","0.2824052572250366","319","319","319","0.2790190577507019","0.2790190577507019","0.2790190577507019","319","319","319","0.2447153776884079","0.2447153776884079","0.2447153776884079","319","319","319","0.27771931886672974","0.27771931886672974","0.27771931886672974","319","319","319","0.2858138680458069","0.2858138680458069","0.2858138680458069","319","319","319","0.34473833441734314","0.34473833441734314","0.34473833441734314"
"25","331","331","331","0.2889651656150818","0.2889651656150818","0.2889651656150818","331","331","331","0.28823748230934143","0.28823748230934143","0.28823748230934143","331","331","331","0.2828475832939148","0.2828475832939148","0.2828475832939148","331","331","331","0.25503280758857727","0.25503280758857727","0.25503280758857727","331","331","331","0.28679460287094116","0.28679460287094116","0.28679460287094116","331","331","331","0.28236180543899536","0.28236180543899536","0.28236180543899536","331","331","331","0.3507380783557892","0.3507380783557892","0.3507380783557892"
"26","344","344","344","0.30089110136032104","0.30089110136032104","0.30089110136032104","344","344","344","0.29104083776474","0.29104083776474","0.29104083776474","344","344","344","0.28783324360847473","0.28783324360847473","0.28783324360847473","344","344","344","0.26030707359313965","0.26030707359313965","0.26030707359313965","344","344","344","0.28185027837753296","0.28185027837753296","0.28185027837753296","344","344","344","0.2892865836620331","0.2892865836620331","0.2892865836620331","344","344","344","0.35609668493270874","0.35609668493270874","0.35609668493270874"
"27","357","357","357","0.2966323494911194","0.2966323494911194","0.2966323494911194","357","357","357","0.2976592183113098","0.2976592183113098","0.2976592183113098","357","357","357","0.29302555322647095","0.29302555322647095","0.29302555322647095","357","357","357","0.26402565836906433","0.26402565836906433","0.26402565836906433","357","357","357","0.2947792410850525","0.2947792410850525","0.2947792410850525","357","357","357","0.2917572855949402","0.2917572855949402","0.2917572855949402","357","357","357","0.3598664700984955","0.3598664700984955","0.3598664700984955"
"28","370","370","370","0.2957943081855774","0.2957943081855774","0.2957943081855774","370","370","370","0.3031550645828247","0.3031550645828247","0.3031550645828247","370","370","370","0.30109915137290955","0.30109915137290955","0.30109915137290955","370","370","370","0.2709759771823883","0.2709759771823883","0.2709759771823883","370","370","370","0.29997503757476807","0.29997503757476807","0.29997503757476807","370","370","370","0.2910587787628174","0.2910587787628174","0.2910587787628174","370","370","370","0.3602086007595062","0.3602086007595062","0.3602086007595062"
"29","383","383","383","0.3039756119251251","0.3039756119251251","0.3039756119251251","383","383","383","0.2983270585536957","0.2983270585536957","0.2983270585536957","383","383","383","0.29558226466178894","0.29558226466178894","0.29558226466178894","383","383","383","0.2613297402858734","0.2613297402858734","0.2613297402858734","383","383","383","0.29639339447021484","0.29639339447021484","0.29639339447021484","383","383","383","0.2928205132484436","0.2928205132484436","0.2928205132484436","383","383","383","0.35671907663345337","0.35671907663345337","0.35671907663345337"
"30","395","395","395","0.30576759576797485","0.30576759576797485","0.30576759576797485","395","395","395","0.29996737837791443","0.29996737837791443","0.29996737837791443","395","395","395","0.2915934920310974","0.2915934920310974","0.2915934920310974","395","395","395","0.2674080431461334","0.2674080431461334","0.2674080431461334","395","395","395","0.30607110261917114","0.30607110261917114","0.30607110261917114","395","395","395","0.2953173816204071","0.2953173816204071","0.2953173816204071","395","395","395","0.3556489944458008","0.3556489944458008","0.3556489944458008"
"31","408","408","408","0.30224019289016724","0.30224019289016724","0.30224019289016724","408","408","408","0.29875463247299194","0.29875463247299194","0.29875463247299194","408","408","408","0.2936411499977112","0.2936411499977112","0.2936411499977112","408","408","408","0.26546862721443176","0.26546862721443176","0.26546862721443176","408","408","408","0.30208104848861694","0.30208104848861694","0.30208104848861694","408","408","408","0.29582029581069946","0.29582029581069946","0.29582029581069946","408","408","408","0.3520219922065735","0.3520219922065735","0.3520219922065735"
